name,serving_size,calories,proteins,carbohydrate,fat,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,name_clean,food_category
Nasi Goreng,0.40 g,500.0,7.0,40.2,34.4,0.0,18.0,0.4,23.26,11.67,12.37,51.34,1.2,0.0,0.0,0.0,0.0,24.0,52.0,0.0,nasi goreng,Low Sugar
Baruasa,0.70 g,417.0,6.5,79.3,8.2,0.0,0.0,0.0,19.4,10.83,24.4,12.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baruasa,Low Sugar
Omelet Mie Telur,14.30 g,500.7,14.3,54.5,24.3,0.0,1132.0,0.0,23.29,23.83,16.77,36.27,75.47,0.0,76.0,24.0,0.0,0.0,37.0,0.0,omelet mie telur,Low Sugar
"Daun jawaw seluang, segar",1.20 g,93.0,5.0,15.3,1.3,0.0,2.0,3.9,4.33,8.33,4.71,1.94,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"daun jawaw seluang, segar",Low Sugar
Saladstop Sunshine jakarta,15.10 g,556.6,45.2,50.7,26.6,18.1,988.8,15.1,25.89,75.33,15.6,39.7,65.92,0.0,66.0,76.0,0.0,0.0,0.0,51.0,saladstop sunshine jakarta,High protein
Sarimi isi tongseng ayam,6 g,560.0,11.0,76.0,23.0,5.0,0.0,6.0,26.05,18.33,23.38,34.33,0.0,0.0,0.0,0.0,24.0,27.0,35.0,0.0,sarimi isi tongseng ayam,Low Sugar
"Ikan Mujahir / Mujair, segar",1.10 g,89.0,18.7,0.0,1.0,0.0,51.0,0.0,4.14,31.17,0.0,1.49,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ikan mujahir / mujair, segar",High protein
"Talas pontianak, segar",0.90 g,163.0,2.3,36.4,0.5,0.0,14.0,0.7,7.58,3.83,11.2,0.75,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"talas pontianak, segar",Low Sugar
Susu Rasa Taro,5 g,130.0,5.0,18.0,4.0,14.0,60.0,0.0,6.05,8.33,5.54,5.97,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,susu rasa taro,Healthy
Masako Daging Sapi,0 g,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,39.33,0.0,40.0,0.0,0.0,0.0,0.0,0.0,masako daging sapi,Low Carb
Koya mirasa,1.60 g,370.0,8.0,82.2,1.0,0.0,0.0,0.4,17.21,13.33,25.29,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,koya mirasa,Low Sugar
Sasa tepung bakso goreng,1 g,90.0,1.0,21.0,0.0,0.0,910.0,0.0,4.19,1.67,6.46,0.0,60.67,0.0,61.0,0.0,7.0,5.0,0.0,0.0,sasa tepung bakso goreng,Low Sugar
Mizone,0 g,45.0,0.0,11.0,0.0,11.0,0.0,0.0,2.09,0.0,3.38,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,mizone,Healthy
Fillet o-fish,1.50 g,270.0,12.3,19.3,15.9,0.0,439.0,0.2,12.56,20.5,5.94,23.73,29.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fillet o-fish,Low Sugar
"Beras giling var rojolele, mentah",0.80 g,357.0,8.4,77.1,1.7,0.0,34.0,0.2,16.6,14.0,23.72,2.54,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"beras giling var rojolele, mentah",Low Sugar
"Beras menir, mentah",0.20 g,362.0,7.7,73.0,4.4,0.0,90.0,0.2,16.84,12.83,22.46,6.57,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"beras menir, mentah",Low Sugar
Monde Snack Gold,2 g,20.0,2.0,16.0,2.5,3.0,35.0,0.0,4.19,3.33,4.92,3.73,2.33,0.0,0.0,0.0,5.0,5.0,4.0,0.0,monde snack gold,Low Sugar
Mony Oats Dark Choco Flavour,0 g,50.0,0.0,7.0,20.0,4.0,15.0,0.0,2.33,0.0,2.15,29.85,1.0,10.0,0.0,0.0,0.0,3.0,30.0,0.0,mony oats dark choco flavour,Low Carb
"Kacang babi, kering",3.50 g,341.0,30.4,51.3,3.2,0.0,13.0,4.5,15.86,50.67,15.78,4.78,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kacang babi, kering",High protein
Subway black forest ham sandwich,5 g,290.0,18.0,46.0,4.5,8.0,0.0,5.0,13.49,30.0,14.15,6.72,0.0,0.0,0.0,30.0,15.0,0.0,0.0,17.0,subway black forest ham sandwich,High protein
Tempe lamtoro var. gung dengan kuit,1.30 g,146.0,11.7,19.6,2.3,0.0,0.0,7.6,6.79,19.5,6.03,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tempe lamtoro var. gung dengan kuit,Low Sugar
"Kalio ayam, masakan",1.40 g,203.0,16.0,4.4,13.5,0.0,534.0,0.0,9.44,26.67,1.35,20.15,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kalio ayam, masakan",High protein
Silky Pudding Taro Flavour,2 g,15.0,2.0,16.0,1.5,11.0,45.0,0.0,3.72,3.33,4.92,2.24,3.0,8.0,0.0,0.0,5.0,4.0,0.0,0.0,silky pudding taro flavour,Healthy
"Talas bogor, segar",0.80 g,108.0,1.4,25.0,0.4,0.0,10.0,0.9,5.02,2.33,7.69,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"talas bogor, segar",Low Sugar
Niu Zuzu rasa coklat,2 g,120.0,2.0,22.0,3.0,18.0,110.0,0.0,5.58,3.33,6.77,4.48,7.33,0.0,8.0,0.0,7.0,6.0,0.0,0.0,niu zuzu rasa coklat,Healthy
"Jeruk bali, segar",0.50 g,48.0,0.6,12.4,0.2,0.0,21.0,0.8,2.23,1.0,3.82,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"jeruk bali, segar",Low Sugar
Delfi ChaCha Peanut,3 g,160.0,3.0,17.0,8.0,0.0,10.0,0.0,7.44,5.0,5.23,11.94,0.67,0.0,0.0,0.0,6.0,8.0,12.0,0.0,delfi chacha peanut,Low Sugar
"Kacang endel, biji",2 g,331.0,25.0,58.0,1.0,0.0,12.0,23.6,15.4,41.67,17.85,1.49,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kacang endel, biji",High protein
Bihun goreng instan,0.70 g,381.0,6.1,80.3,3.9,0.0,928.0,0.0,17.72,10.17,24.71,5.82,61.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bihun goreng instan,Low Sugar
Mie ayam,0.80 g,102.0,6.2,10.5,3.9,0.0,279.0,0.0,4.74,10.33,3.23,5.82,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mie ayam,Low Sugar
"Koro benguk, biji",3 g,332.0,24.0,55.0,3.0,0.0,42.0,5.6,15.44,40.0,16.92,4.48,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"koro benguk, biji",High protein
Nongshim Shin cup,10.90 g,309.0,10.9,46.8,6.0,1.9,0.0,0.0,14.37,18.17,14.4,8.96,0.0,0.0,0.0,19.0,15.0,15.0,0.0,0.0,nongshim shin cup,Low Sugar
Teh botol tawar,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,teh botol tawar,Low Carb
Biji nangka / Biji salak,0.70 g,262.0,2.3,51.1,5.4,0.0,10.0,8.0,12.19,3.83,15.72,8.06,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biji nangka / biji salak,Low Sugar
Emping (keripik melinjo),28 g,345.0,12.0,71.5,1.5,0.0,0.0,0.0,16.05,20.0,22.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emping (keripik melinjo),Low Sugar
"Soto bandung, masakan",1.80 g,42.0,3.9,2.8,1.7,0.0,0.0,0.4,1.95,6.5,0.86,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"soto bandung, masakan",Low Carb
Origo coffe avocado coffe,4.04 g,160.0,4.04,22.46,6.02,14.12,0.0,0.0,7.44,6.73,6.91,8.99,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,origo coffe avocado coffe,Snack
Subway sweet onion chicken teriyaki sandwich,5 g,370.0,25.0,58.0,4.5,16.0,0.0,5.0,17.21,41.67,17.85,6.72,0.0,0.0,0.0,42.0,18.0,18.0,0.0,0.0,subway sweet onion chicken teriyaki sandwich,High protein
Komak polong,1.10 g,99.0,3.3,21.2,0.1,0.0,15.0,10.3,4.6,5.5,6.52,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,komak polong,Low Sugar
Hazelnut,9.70 g,628.0,14.95,16.7,60.75,0.0,0.0,9.7,29.21,24.92,5.14,90.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hazelnut,Low Sugar
Sariroti roti tawar kupas,1 g,110.0,3.0,19.0,2.0,1.0,170.0,1.0,5.12,5.0,5.85,2.99,11.33,0.0,12.0,0.0,6.0,6.0,0.0,0.0,sariroti roti tawar kupas,Low Sugar
"Andewi, segar",1.10 g,226.0,1.6,5.3,0.2,0.0,29.0,4.1,10.51,2.67,1.63,0.3,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"andewi, segar",Low Carb
Mie bakso,0.80 g,114.0,5.3,16.4,3.0,0.0,760.0,0.1,5.3,8.83,5.05,4.48,50.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mie bakso,Low Sugar
Kin bulgarian yogurt orange,3 g,150.0,3.0,28.0,2.5,27.0,0.0,0.0,6.98,5.0,8.62,3.73,0.0,0.0,0.0,5.0,9.0,7.0,0.0,0.0,kin bulgarian yogurt orange,Healthy
Tapai singkong,0.70 g,169.0,1.4,40.2,0.3,0.0,0.0,2.0,7.86,2.33,12.37,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tapai singkong,Low Sugar
"Buncis, segar",0.50 g,34.0,2.4,7.2,0.3,0.0,8.0,1.9,1.58,4.0,2.22,0.45,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"buncis, segar",Low Carb
Biskuit serena egg rolls chocolate,1 g,80.0,1.0,8.0,4.5,4.0,0.0,1.0,3.72,1.67,2.46,6.72,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,biskuit serena egg rolls chocolate,Low Carb
Ikan Mujahir / mujair goreng,2.20 g,416.0,46.9,0.0,23.9,0.0,54.0,0.0,19.35,78.17,0.0,35.67,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ikan mujahir / mujair goreng,High protein
Kue ku temu,0.50 g,214.0,3.5,49.6,0.2,0.0,0.0,0.0,9.95,5.83,15.26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kue ku temu,Low Sugar
Coklat Ferrero rocher,1 g,238.0,3.0,18.0,16.0,15.0,0.0,1.0,11.07,5.0,5.54,23.88,0.0,0.0,0.0,0.0,6.0,12.0,24.0,0.0,coklat ferrero rocher,Snack
Outback steackhouse outback special,51 g,280.0,51.0,0.0,9.0,0.0,0.0,0.0,13.02,85.0,0.0,13.43,0.0,0.0,0.0,85.0,0.0,14.0,14.0,0.0,outback steackhouse outback special,High protein
The coffe bean & tea leaf mocha ice blended drink,11 g,350.0,11.0,67.0,7.0,55.0,0.0,0.0,16.28,18.33,20.62,10.45,0.0,0.0,0.0,19.0,21.0,17.0,0.0,0.0,the coffe bean & tea leaf mocha ice blended drink,Snack
Indomie goreng,2 g,380.0,8.0,54.0,14.0,8.0,0.0,2.0,17.67,13.33,16.62,20.9,0.0,0.0,0.0,0.0,17.0,18.0,21.0,0.0,indomie goreng,Snack
Nestle nestum,1 g,130.0,3.0,27.0,1.5,9.0,0.0,1.0,6.05,5.0,8.31,2.24,0.0,0.0,0.0,5.0,9.0,7.0,0.0,0.0,nestle nestum,Healthy
"Jagung nasi, mentah",0.30 g,357.0,8.8,79.5,0.5,0.0,2.0,6.2,16.6,14.67,24.46,0.75,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"jagung nasi, mentah",Low Sugar
Indofood cap enak (kental manis),2 g,120.0,1.0,21.0,4.0,19.0,0.0,2.0,5.58,1.67,6.46,5.97,0.0,0.0,0.0,0.0,7.0,0.0,6.0,7.0,indofood cap enak (kental manis),Healthy
Pastel,1.50 g,307.0,4.5,42.4,13.3,0.0,0.0,0.0,14.28,7.5,13.05,19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pastel,Low Sugar
Momogi Bintang Coklat,1 g,50.0,1.0,6.0,3.0,0.0,20.0,0.0,2.33,1.67,1.85,4.48,1.33,0.0,0.0,0.0,2.0,3.0,5.0,0.0,momogi bintang coklat,Low Carb
King's Fisher sarden goreng balado,8 g,120.0,8.0,4.0,8.0,0.0,0.0,0.0,5.58,13.33,1.23,11.94,0.0,0.0,0.0,14.0,0.0,6.0,12.0,0.0,king's fisher sarden goreng balado,Low Carb
Kewpie Caesar,1 g,70.0,1.0,3.0,6.0,0.0,190.0,0.0,3.26,1.67,0.92,8.96,12.67,0.0,13.0,0.0,0.0,4.0,9.0,0.0,kewpie caesar,Low Carb
Getuk singkong,1.10 g,204.0,0.5,47.4,1.4,0.0,0.0,0.8,9.49,0.83,14.58,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,getuk singkong,Low Sugar
Kenari banda,3.20 g,616.0,13.9,13.7,56.2,0.0,11.0,0.0,28.65,23.17,4.22,83.88,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kenari banda,Low Sugar
"Anak sapi, daging, gemuk,segar",5.20 g,184.0,18.8,0.0,14.0,0.0,118.0,0.0,8.56,31.33,0.0,20.9,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"anak sapi, daging, gemuk,segar",High protein
Indomie ayam geprek,3 g,410.0,9.0,49.0,20.0,6.0,0.0,3.0,19.07,15.0,15.08,29.85,0.0,0.0,0.0,0.0,16.0,20.0,30.0,0.0,indomie ayam geprek,Snack
Oncom kacang tanah pepes,4.80 g,132.0,11.7,13.7,3.8,0.0,0.0,3.1,6.14,19.5,4.22,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oncom kacang tanah pepes,Low Sugar
"PT. Ultrajaya Milk Industry, Tbk",6 g,120.0,6.0,9.0,6.0,0.0,40.0,0.0,5.58,10.0,2.77,8.96,2.67,0.0,0.0,10.0,0.0,6.0,9.0,0.0,"pt. ultrajaya milk industry, tbk",Low Carb
Putri hijau,0.50 g,189.0,5.4,37.2,2.1,0.0,0.0,0.0,8.79,9.0,11.45,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,putri hijau,Low Sugar
Nestle Milo 3in1 Activ-Go (Malt),1 g,140.0,4.0,25.0,3.0,0.0,80.0,1.0,6.51,6.67,7.69,4.48,5.33,10.0,0.0,7.0,8.0,0.0,0.0,0.0,nestle milo 3in1 activ-go (malt),Low Sugar
Tiwul Instan,2.70 g,395.0,3.2,76.5,8.5,0.0,377.0,4.2,18.37,5.33,23.54,12.69,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tiwul instan,Low Sugar
"Hofa / Ubi hutan, segar",0.90 g,127.0,1.2,29.5,0.5,0.0,3.0,3.4,5.91,2.0,9.08,0.75,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"hofa / ubi hutan, segar",Low Sugar
Lanting getuk,3.80 g,422.0,0.9,80.4,10.8,0.0,0.0,1.4,19.63,1.5,24.74,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lanting getuk,Low Sugar
"Telur ayam ras / telor ayam ras , segar",0.80 g,154.0,12.4,0.7,10.8,0.0,142.0,0.0,7.16,20.67,0.22,16.12,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"telur ayam ras / telor ayam ras , segar",Low Carb
"Daun Kenikir, segar",1.70 g,45.0,3.7,6.6,0.5,0.0,6.0,5.8,2.09,6.17,2.03,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"daun kenikir, segar",Low Carb
Oncom,1.40 g,187.0,13.0,22.6,6.0,0.0,0.0,0.0,8.7,21.67,6.95,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oncom,Low Sugar
"Gadung , ubi, segar",0.90 g,100.0,0.9,23.5,0.3,0.0,8.0,2.1,4.65,1.5,7.23,0.45,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"gadung , ubi, segar",Low Sugar
Nasi minyak,1.10 g,207.0,3.5,37.1,5.0,0.0,74.0,0.8,9.63,5.83,11.42,7.46,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nasi minyak,Low Sugar
Starbucks green tea frappuccino (whole milk),5 g,320.0,5.0,64.0,4.5,0.0,0.0,0.0,14.88,8.33,19.69,6.72,0.0,0.0,0.0,9.0,20.0,15.0,0.0,0.0,starbucks green tea frappuccino (whole milk),Low Sugar
Kue Kelepon,1.20 g,215.0,3.7,41.8,3.7,0.0,0.0,1.0,10.0,6.17,12.86,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kue kelepon,Low Sugar
ABC Selera pedas hot gulai chicken,21 g,270.0,7.0,34.0,12.0,1.0,0.0,21.0,12.56,11.67,10.46,17.91,0.0,0.0,0.0,0.0,0.0,13.0,18.0,70.0,abc selera pedas hot gulai chicken,Low Sugar
Royco sup krim jagung,1 g,70.0,1.0,11.0,2.0,4.0,380.0,0.0,3.26,1.67,3.38,2.99,25.33,0.0,26.0,0.0,4.0,4.0,0.0,0.0,royco sup krim jagung,Low Sugar
BANGO Kecap Manis Light,0 g,40.0,0.0,10.0,0.0,8.0,140.0,0.0,1.86,0.0,3.08,0.0,9.33,0.0,10.0,0.0,4.0,2.0,0.0,0.0,bango kecap manis light,Low Carb
Happy Tos Tortilla Chips,1 g,60.0,2.0,16.0,7.0,1.0,125.0,1.0,6.05,3.33,4.92,10.45,8.33,15.0,9.0,0.0,0.0,0.0,11.0,0.0,happy tos tortilla chips,Low Sugar
super bubur rasa ayam,3 g,170.0,3.0,32.0,3.0,0.0,840.0,0.0,7.91,5.0,9.85,4.48,56.0,0.0,56.0,0.0,10.0,8.0,0.0,0.0,super bubur rasa ayam,Low Sugar
Yoshinoya Veggie beef bowl (Large bowl),9 g,960.0,35.0,141.0,29.0,8.0,0.0,9.0,44.65,58.33,43.38,43.28,0.0,0.0,0.0,59.0,44.0,45.0,0.0,0.0,yoshinoya veggie beef bowl (large bowl),High protein
Intip goreng,2 g,474.0,7.6,62.3,21.6,0.0,0.0,1.2,22.05,12.67,19.17,32.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intip goreng,Low Sugar
"Daun pohpohan, segar",2.40 g,37.0,2.5,6.9,0.8,0.0,0.0,2.6,1.72,4.17,2.12,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"daun pohpohan, segar",Low Carb
Suki Rasa Ayam Kecap,2 g,100.0,2.0,13.0,4.0,1.0,240.0,0.0,4.65,3.33,4.0,5.97,16.0,0.0,16.0,0.0,0.0,5.0,6.0,0.0,suki rasa ayam kecap,Low Sugar
"Soto betawi, masakan",1.30 g,135.0,2.5,11.5,8.8,0.0,0.0,0.5,6.28,4.17,3.54,13.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"soto betawi, masakan",Low Sugar
"Selada air,segar",1.20 g,17.0,3.1,2.2,0.2,0.0,65.0,0.7,0.79,5.17,0.68,0.3,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"selada air,segar",Low Carb
Mie Sedaap baso spesial,6 g,340.0,9.0,47.0,13.0,2.0,0.0,6.0,15.81,15.0,14.46,19.4,0.0,0.0,0.0,0.0,0.0,16.0,20.0,20.0,mie sedaap baso spesial,Low Sugar
Naraya melon seed,6 g,130.0,6.0,2.0,10.0,0.0,180.0,0.0,6.05,10.0,0.62,14.93,12.0,0.0,12.0,10.0,0.0,0.0,15.0,0.0,naraya melon seed,Low Carb
"Pepare ular, segar",0.30 g,19.0,0.6,3.9,0.1,0.0,130.0,1.0,0.88,1.0,1.2,0.15,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"pepare ular, segar",Low Carb
"Kaburan, ubi, segar",0.50 g,133.0,1.0,32.2,0.2,0.0,10.0,0.7,6.19,1.67,9.91,0.3,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kaburan, ubi, segar",Low Sugar
You C1000 vitamin lemon,0 g,700.0,0.0,16.0,0.0,16.0,0.0,0.0,32.56,0.0,4.92,0.0,0.0,0.0,0.0,0.0,5.0,33.0,0.0,0.0,you c1000 vitamin lemon,Snack
Kopi Good day the original,1 g,90.0,1.0,16.0,2.5,13.0,0.0,1.0,4.19,1.67,4.92,3.73,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,kopi good day the original,Healthy
Naraya Coklat Cookies,1 g,50.0,1.0,6.0,3.0,0.0,45.0,0.0,2.33,1.67,1.85,4.48,3.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,naraya coklat cookies,Low Carb
Susu On gold standard whey,0.50 g,120.0,20.0,3.0,1.8,1.6,0.0,0.5,5.58,33.33,0.92,2.69,0.0,0.0,0.0,34.0,0.0,6.0,3.0,0.0,susu on gold standard whey,High protein
Sariroti roti tawar gandum,6 g,190.0,6.0,32.0,3.5,2.0,290.0,6.0,8.84,10.0,9.85,5.22,19.33,0.0,20.0,10.0,0.0,0.0,0.0,20.0,sariroti roti tawar gandum,Low Sugar
King's Fisher sarden sambal bangkok,8 g,70.0,8.0,6.0,2.0,0.0,0.0,0.0,3.26,13.33,1.85,2.99,0.0,0.0,0.0,14.0,0.0,4.0,3.0,0.0,king's fisher sarden sambal bangkok,Low Carb
Ultra Sari Asem Asli,0 g,130.0,0.0,32.0,0.0,0.0,0.0,0.0,6.05,0.0,9.85,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,ultra sari asem asli,Low Sugar
Sagu aren segar,0.10 g,231.0,0.6,56.6,0.2,0.0,7.0,3.2,10.74,1.0,17.42,0.3,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sagu aren segar,Low Sugar
"Kelapa tua, daging, segar",1 g,359.0,3.4,14.0,34.7,0.0,3.0,4.7,16.7,5.67,4.31,51.79,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"kelapa tua, daging, segar",Low Sugar
Koyabu,0.90 g,241.0,3.4,47.2,4.3,0.0,0.0,0.0,11.21,5.67,14.52,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,koyabu,Low Sugar
Buah kelor,1.30 g,38.0,1.5,7.5,0.2,0.0,48.0,3.2,1.77,2.5,2.31,0.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buah kelor,Low Carb
Mie Sedaap Cup Mi Kuah Bakso,8 g,350.0,8.0,45.0,15.0,0.0,1070.0,0.0,16.28,13.33,13.85,22.39,71.33,0.0,72.0,0.0,0.0,17.0,23.0,0.0,mie sedaap cup mi kuah bakso,Low Sugar
Martabak mesir,1.10 g,278.0,5.1,45.0,8.6,0.0,193.0,0.0,12.93,8.5,13.85,12.84,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,martabak mesir,Low Sugar
"Encung asam, segar",1.50 g,122.0,3.5,17.5,4.5,0.0,0.0,9.3,5.67,5.83,5.38,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"encung asam, segar",Low Sugar
Croissant,1 g,180.0,3.0,21.0,9.0,0.0,0.0,1.0,8.37,5.0,6.46,13.43,0.0,0.0,0.0,0.0,7.0,9.0,14.0,0.0,croissant,Low Sugar
Hokben Tori Ball,7 g,250.0,7.0,15.0,14.0,0.0,0.0,0.0,11.63,11.67,4.62,20.9,0.0,0.0,0.0,12.0,0.0,12.0,21.0,0.0,hokben tori ball,Low Sugar
"Ikan Sunu, segar",1.10 g,111.0,13.3,6.7,3.4,0.0,91.0,0.0,5.16,22.17,2.06,5.07,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ikan sunu, segar",Low Carb
"Sapi, dideh/darah",1.40 g,98.0,21.9,0.0,1.1,0.0,150.0,0.0,4.56,36.5,0.0,1.64,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"sapi, dideh/darah",High protein
Beras ganyong,0.50 g,364.0,3.4,86.3,0.7,0.0,4.0,4.7,16.93,5.67,26.55,1.04,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beras ganyong,Low Sugar
MR.P Cashewnuts,7 g,250.0,7.0,11.0,19.0,0.0,0.0,0.0,11.63,11.67,3.38,28.36,0.0,0.0,0.0,12.0,0.0,12.0,29.0,0.0,mr.p cashewnuts,Low Sugar
Dodol bali,1.80 g,298.0,3.7,65.9,2.1,0.0,0.0,0.4,13.86,6.17,20.28,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dodol bali,Low Sugar
"Susu kambing, segar",0.90 g,64.0,4.3,6.6,2.3,0.0,35.0,0.0,2.98,7.17,2.03,3.43,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"susu kambing, segar",Low Carb
Origo coffe strawberry kopi susu,2.43 g,108.0,2.43,12.55,4.34,10.25,0.0,0.0,5.02,4.05,3.86,6.48,0.0,0.0,0.0,5.0,0.0,6.0,7.0,0.0,origo coffe strawberry kopi susu,Healthy
Permen KIS mini assorted,0 g,30.0,0.0,7.0,0.0,5.0,0.0,0.0,1.4,0.0,2.15,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,permen kis mini assorted,Low Carb
"Telur ayam ras bagian putih, segar",0.60 g,50.0,10.8,0.8,0.0,0.0,164.0,0.0,2.33,18.0,0.25,0.0,10.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"telur ayam ras bagian putih, segar",Low Carb
"Pisang ayam, segar",0.70 g,120.0,1.1,26.8,0.2,0.0,6.0,4.1,5.58,1.83,8.25,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"pisang ayam, segar",Low Sugar
"Pempek adaan, masakan",1.70 g,162.0,4.9,27.8,3.0,0.0,488.0,0.0,7.53,8.17,8.55,4.48,32.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"pempek adaan, masakan",Low Sugar
Keju kcang tanah (peanut butter),0.10 g,590.0,27.0,20.9,49.0,0.0,355.0,1.6,27.44,45.0,6.43,73.13,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keju kcang tanah (peanut butter),High protein
"Ubi jalar manis, segar",1.10 g,83.0,1.5,18.8,0.2,0.0,52.0,0.6,3.86,2.5,5.78,0.3,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ubi jalar manis, segar",Low Sugar
donat Krispy kreme mini original glazed,0.30 g,83.3,1.0,10.0,4.3,4.7,0.0,0.3,3.87,1.67,3.08,6.42,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,donat krispy kreme mini original glazed,Low Carb
Sarimi Gelas Rasa Baso Sapi,3 g,50.0,2.0,18.0,6.0,2.0,390.0,3.0,6.51,3.33,5.54,8.96,26.0,15.0,26.0,0.0,0.0,0.0,0.0,10.0,sarimi gelas rasa baso sapi,Low Sugar
Dalgona coffe,9.25 g,306.0,9.25,52.77,7.05,33.86,0.0,0.0,14.23,15.42,16.24,10.52,0.0,0.0,0.0,16.0,17.0,15.0,0.0,0.0,dalgona coffe,Snack
